time_s,athlete_depth_m,center_depth_m
43.903,3.49,3.431
43.955,3.49,3.47
44.007,3.49,3.47
44.06,3.47,3.49
44.112,3.47,3.49
44.164,3.51,3.431
44.217,3.51,3.431
44.269,3.393,3.451
44.321,3.393,3.451
44.367,3.51,3.356
44.42,3.49,3.356
44.472,3.393,3.393
44.524,3.393,3.393
44.576,3.431,3.393
44.629,3.431,3.393
44.681,3.338,3.393
44.733,3.338,3.393
44.786,3.356,3.356
44.838,3.356,3.356
44.89,3.431,3.412
44.942,3.431,3.412
44.995,3.302,3.393
45.047,3.302,3.393
45.1,3.338,3.375
45.152,3.356,3.375
45.205,3.302,3.338
45.257,3.338,3.338
45.309,3.165,3.165
45.361,3.148,3.165
45.413,3.249,3.249
45.466,3.249,3.249
45.518,3.249,3.266
45.571,3.249,3.266
45.623,3.266,3.302
45.675,3.266,3.302
45.727,3.284,3.32
45.78,3.284,3.32
45.832,3.393,3.431
45.884,3.393,3.431
45.936,3.636,3.702
45.989,3.68,3.702
46.041,3.702,3.702
46.093,3.702,3.702
46.146,3.593,3.593
46.198,3.68,3.593
46.25,3.49,3.451
46.303,3.47,3.451
46.355,3.393,3.356
46.408,3.47,3.356
46.46,3.393,3.47
46.512,3.32,3.47
46.565,3.451,3.636
46.617,3.47,3.636
46.669,3.702,3.68
46.722,3.572,3.68
46.774,3.51,3.531
46.826,3.451,3.531
46.878,3.636,3.531
46.931,3.614,3.531
46.983,3.393,3.593
47.035,3.356,3.593
47.088,3.431,3.431
47.14,3.393,3.431
47.192,3.338,3.49
47.245,3.356,3.49
47.297,3.431,3.49
47.349,3.393,3.49
47.402,3.412,3.531
47.454,3.412,3.531
47.506,3.393,3.51
47.559,3.393,3.51
47.611,3.451,3.47
47.664,3.47,3.47
47.716,3.551,3.412
47.769,3.593,3.412
47.817,3.747,3.431
47.869,3.747,3.431
47.922,3.636,3.375
47.974,3.657,3.375
48.027,3.593,3.451
48.079,3.593,3.451
48.131,3.636,3.572
48.184,3.636,3.572
48.237,3.593,3.572
48.289,3.593,3.572
48.341,3.551,3.551
48.394,3.551,3.551
48.446,3.551,3.531
48.496,3.551,3.531
48.549,3.636,3.614
48.601,3.636,3.614
48.654,3.702,3.551
48.706,3.702,3.551
48.758,3.614,3.551
48.811,3.614,3.551
48.863,3.614,3.551
48.916,3.614,3.551
48.968,3.702,3.572
49.021,3.702,3.572
49.073,3.572,3.572
49.125,3.572,3.572
49.178,3.747,3.551
49.23,3.747,3.551
49.282,3.614,3.531
49.335,3.614,3.531
49.388,3.68,3.531
49.44,3.68,3.531
49.493,3.68,3.551
49.545,3.68,3.551
49.597,3.657,3.531
49.65,3.636,3.531
49.703,3.702,3.51
49.755,3.702,3.51
49.808,3.68,3.551
49.86,3.68,3.551
49.912,3.68,3.51
49.965,3.68,3.51
50.017,3.636,3.531
50.069,3.636,3.531
50.122,3.77,3.551
50.174,3.77,3.551
50.227,3.657,3.572
50.279,3.657,3.572
50.331,3.614,3.531
50.383,3.614,3.531
50.436,3.636,3.551
50.488,3.636,3.551
50.54,3.702,3.593
50.592,3.702,3.593
50.644,3.77,3.614
50.697,3.77,3.614
50.749,3.747,3.614
50.802,3.747,3.614
50.854,3.702,3.724
50.906,3.724,3.724
50.958,3.724,3.747
51.011,3.724,3.747
51.063,3.68,3.724
51.115,3.68,3.724
51.167,3.702,3.747
51.22,3.702,3.747
51.272,3.636,3.724
51.324,3.636,3.724
51.377,3.593,3.657
51.425,3.593,3.657
51.478,3.636,3.747
51.53,3.636,3.747
51.582,3.572,3.702
51.635,3.636,3.702
51.687,3.657,3.724
51.739,3.68,3.724
51.791,3.551,3.702
51.844,3.551,3.702
51.896,3.551,3.614
51.948,3.572,3.614
52.0,3.572,3.614
52.053,3.614,3.614
52.105,3.636,3.614
52.158,3.636,3.614
52.21,3.724,3.702
52.262,3.747,3.702
52.314,3.747,3.724
