time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
3.911,Weightlifting,Clean & Jerk,Front View,Setup,Detected,84.24,107.23,152.76,157.75,138.24,149.19,95.05,74.74,169.94,179.27,14.04,3.181,8.367,False,,,,,,,,,,,,,,,
3.975,Weightlifting,Clean & Jerk,Front View,Setup,Detected,82.23,106.66,150.73,156.17,135.66,146.13,94.79,73.74,171.1,178.15,12.99,3.181,8.367,False,,,,,,,,,,,,,,,
4.04,Weightlifting,Clean & Jerk,Front View,Setup,Detected,87.31,106.66,150.48,156.17,134.74,146.13,89.6,74.13,171.65,177.76,8.13,3.198,8.037,False,,,,,,,,,,,,,,,
4.103,Weightlifting,Clean & Jerk,Front View,Setup,Detected,77.73,110.05,147.8,158.21,135.47,146.96,97.82,73.11,171.25,176.6,18.43,3.198,8.037,False,,,,,,,,,,,,,,,
4.163,Weightlifting,Clean & Jerk,Front View,Setup,Detected,74.23,106.26,147.8,156.67,135.47,147.03,101.73,75.29,169.47,176.6,15.26,3.148,8.144,False,,,,,,,,,,,,,,,
4.234,Weightlifting,Clean & Jerk,Front View,Setup,Detected,75.32,107.23,148.89,157.75,135.47,143.24,100.47,75.88,170.73,177.35,21.8,3.165,8.144,False,,,,,,,,,,,,,,,
4.29,Weightlifting,Clean & Jerk,Front View,Setup,Detected,75.32,103.8,148.89,158.64,135.47,147.03,100.47,79.32,170.94,177.35,23.96,3.198,8.367,False,,,,,,,,,,,,,,,
4.355,Weightlifting,Clean & Jerk,Front View,Setup,Detected,86.86,100.45,149.27,158.92,137.15,145.29,91.97,83.01,169.52,177.71,0.0,3.181,8.367,False,,,,,,,,,,,,,,,
4.415,Weightlifting,Clean & Jerk,Front View,Setup,Detected,88.86,96.51,149.71,158.92,135.62,145.29,91.14,86.2,168.8,179.24,6.34,3.101,8.367,False,,,,,,,,,,,,,,,
4.478,Weightlifting,Clean & Jerk,Front View,Setup,Detected,100.55,99.28,151.33,156.93,134.34,144.46,80.41,81.87,168.56,179.63,9.46,3.101,8.367,False,,,,,,,,,,,,,,,
4.54,Weightlifting,Clean & Jerk,Front View,Setup,Detected,100.55,99.28,151.33,156.93,134.34,144.46,80.41,83.01,168.56,176.21,9.46,3.132,8.254,False,,,,,,,,,,,,,,,
4.602,Weightlifting,Clean & Jerk,Front View,Setup,Detected,74.83,89.04,152.17,156.06,130.55,143.16,104.04,90.96,172.61,179.59,0.0,3.148,8.254,False,,,,,,,,,,,,,,,
