time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m
8.868,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.56,,56.02,,119.59,,41.21,,160.78,62.2,3.756,7.849
8.942,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.67,,56.02,,120.22,,40.01,,157.05,61.83,3.756,7.466
9.018,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.12,,55.5,,121.55,,40.17,,154.25,61.67,3.756,7.466
9.096,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.28,,54.66,,115.92,,41.37,,155.45,61.33,3.756,7.118
9.177,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.13,,55.15,,117.35,,41.37,,154.23,61.33,3.756,7.118
9.246,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.8,,55.15,,118.07,,40.7,,151.6,60.98,3.71,7.376
9.324,Weightlifting,Snatch,Side View,Not Detected,Detected,,39.8,,55.8,,117.99,,42.32,,155.85,60.98,3.71,7.376
9.396,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.19,,55.8,,117.99,,43.15,,157.06,60.6,3.779,8.055
9.479,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.57,,56.67,,120.55,,42.48,,161.27,60.26,3.779,8.055
9.547,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.69,,57.68,,124.46,,41.39,,160.44,60.11,3.756,7.466
9.641,Weightlifting,Snatch,Side View,Not Detected,Detected,,42.18,,55.82,,116.57,,40.99,,162.35,59.91,3.756,7.466
9.719,Weightlifting,Snatch,Side View,Not Detected,Detected,,42.5,,56.77,,114.78,,40.99,,165.82,60.11,3.756,7.558
9.791,Weightlifting,Snatch,Side View,Not Detected,Detected,,42.11,,57.42,,111.83,,41.39,,158.26,60.3,3.756,7.558
9.888,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.42,,58.68,,113.77,,41.0,,157.88,59.97,3.756,7.749
9.959,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.66,,52.58,,109.08,,40.61,,147.93,59.57,3.756,7.749
10.039,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.66,,50.37,,105.83,,40.61,,147.93,59.57,3.756,7.466
10.112,Weightlifting,Snatch,Side View,Not Detected,Detected,,42.5,,49.19,,115.78,,40.99,,153.92,59.57,3.756,7.466
10.179,Weightlifting,Snatch,Side View,Not Detected,Detected,,43.74,,48.65,,115.36,,40.54,,151.41,59.37,3.756,7.466
10.25,Weightlifting,Snatch,Side View,Not Detected,Detected,,42.22,,50.64,,113.92,,40.96,,150.19,59.37,3.756,7.466
10.319,Weightlifting,Snatch,Side View,Not Detected,Detected,,42.22,,52.67,,113.03,,40.59,,150.26,59.04,3.756,7.652
10.394,Weightlifting,Snatch,Side View,Not Detected,Detected,,41.03,,54.27,,114.29,,40.31,,148.1,58.7,3.756,7.652
10.454,Weightlifting,Snatch,Side View,Not Detected,Detected,,40.06,,55.31,,114.16,,42.33,,145.45,58.7,3.802,7.376
